"","easting","northing","stream_order","elevation"
"408",6165138.5,2105924.1405,2,477.739990234375
"409",6166146.5,2105924.1405,1,423.5
"410",6166302.5,2105924.1405,3,410.910003662109
"411",6157383.5,2105921.1405,3,202.330001831055
"412",6157689.5,2105921.1405,1,182.800003051758
"413",6158316.5,2105921.1405,6,136.970001220703
"414",6160209.5,2105921.1405,1,218.369995117188
"415",6160596.5,2105921.1405,1,221.149993896484
"416",6160749.5,2105921.1405,2,215.800003051758
"417",6160752.5,2105921.1405,2,215.800003051758
"418",6161958.5,2105921.1405,1,377.600006103516
"419",6163302.5,2105921.1405,1,529.380004882812
"420",6163806.5,2105921.1405,2,425.920013427734
"421",6165138.5,2105921.1405,2,474.329986572266
"422",6166146.5,2105921.1405,1,421.510009765625
"423",6166302.5,2105921.1405,3,410.570007324219
"424",6157386.5,2105918.1405,3,201.580001831055
"425",6157689.5,2105918.1405,1,181.25
"426",6158313.5,2105918.1405,6,137.029998779297
"427",6160206.5,2105918.1405,1,216.809997558594
"428",6160593.5,2105918.1405,1,220.580001831055
"429",6160746.5,2105918.1405,2,215.089996337891
"430",6161958.5,2105918.1405,1,379.290008544922
"431",6163305.5,2105918.1405,1,529.169982910156
"432",6163806.5,2105918.1405,2,425.25
"433",6165141.5,2105918.1405,2,473.570007324219
"434",6166149.5,2105918.1405,1,422.619995117188
"435",6166299.5,2105918.1405,3,410.5
"436",6166302.5,2105918.1405,3,410.519989013672
"437",6157389.5,2105915.1405,3,200.389999389648
"438",6157689.5,2105915.1405,1,181.029998779297
"439",6158313.5,2105915.1405,6,136.820007324219
"440",6160206.5,2105915.1405,1,215.020004272461
"441",6160593.5,2105915.1405,1,219.570007324219
"442",6160743.5,2105915.1405,2,213.539993286133
"443",6161958.5,2105915.1405,1,380.940002441406
"444",6163305.5,2105915.1405,1,527.97998046875
"445",6163806.5,2105915.1405,2,425.25
"446",6165141.5,2105915.1405,2,473.570007324219
"447",6165594.5,2105915.1405,1,480.070007324219
"448",6166149.5,2105915.1405,1,422.619995117188
"449",6166287.5,2105915.1405,3,408.779998779297
"450",6166290.5,2105915.1405,3,410.519989013672
