"","X1","easting","northing","stream_order","elevation"
"1592",4964,6158796.5,2105645.1405,3,134.380004882812
"1593",4965,6158799.5,2105645.1405,3,134.350006103516
"1594",4966,6159105.5,2105645.1405,3,135.809997558594
"1595",4967,6159849.5,2105645.1405,3,170.710006713867
"1596",4968,6159852.5,2105645.1405,3,170.529998779297
"1597",4969,6159855.5,2105645.1405,3,170.149993896484
"1598",4970,6159858.5,2105645.1405,3,170.660003662109
"1599",4977,6166098.5,2105645.1405,3,401.040008544922
"1600",4978,6168675.5,2105645.1405,4,329.720001220703
"1601",4982,6170976.5,2105645.1405,3,447.540008544922
"1602",4983,6172857.5,2105645.1405,3,295.910003662109
"1603",4985,6174999.5,2105645.1405,3,255.139999389648
"1604",4986,6175626.5,2105645.1405,6,227.210006713867
"1605",4987,6175635.5,2105645.1405,4,227.720001220703
"1606",4988,6175878.5,2105645.1405,4,230.350006103516
"1607",4989,6175881.5,2105645.1405,4,230.520004272461
"1608",5010,6180591.5,2105645.1405,4,392.769989013672
"1609",5020,6185040.5,2105645.1405,3,794.130004882812
"1610",5026,6187899.5,2105645.1405,4,745.669982910156
"1611",5035,6189378.5,2105645.1405,5,824.409973144531
"1612",5036,6189381.5,2105645.1405,5,824.299987792969
"1613",5037,6189384.5,2105645.1405,5,824.299987792969
"1614",5038,6189387.5,2105645.1405,5,824.440002441406
"1615",5039,6189390.5,2105645.1405,5,824.900024414062
"1616",5040,6189393.5,2105645.1405,5,825.169982910156
"1617",5064,6157770.5,2105642.1405,3,160.690002441406
"1618",5065,6158361.5,2105642.1405,6,133.770004272461
"1619",5066,6158793.5,2105642.1405,3,134.460006713867
"1620",5067,6159108.5,2105642.1405,3,135.809997558594
"1621",5068,6159831.5,2105642.1405,3,170.029998779297
"1622",5069,6159834.5,2105642.1405,3,170.029998779297
"1623",5070,6159837.5,2105642.1405,3,170.669998168945
"1624",5071,6159840.5,2105642.1405,3,170.789993286133
"1625",5072,6159843.5,2105642.1405,3,170.869995117188
"1626",5073,6159846.5,2105642.1405,3,170.910003662109
"1627",5080,6166095.5,2105642.1405,3,400.519989013672
"1628",5081,6168678.5,2105642.1405,4,329.269989013672
"1629",5085,6170976.5,2105642.1405,3,446.549987792969
"1630",5086,6172857.5,2105642.1405,3,296.350006103516
"1631",5088,6174999.5,2105642.1405,3,254.809997558594
"1632",5089,6175626.5,2105642.1405,6,227.199996948242
"1633",5090,6175632.5,2105642.1405,4,227.610000610352
"1634",5091,6175872.5,2105642.1405,4,229.850006103516
"1635",5092,6175875.5,2105642.1405,4,230.389999389648
"1636",5122,6180594.5,2105642.1405,4,392.769989013672
"1637",5132,6185040.5,2105642.1405,3,794.130004882812
"1638",5139,6187899.5,2105642.1405,4,745.130004882812
"1639",5155,6189363.5,2105642.1405,5,824.280029296875
"1640",5156,6189366.5,2105642.1405,5,824.429992675781
"1641",5157,6189369.5,2105642.1405,5,824.369995117188
"1642",5158,6189372.5,2105642.1405,5,824.130004882812
"1643",5159,6189375.5,2105642.1405,5,824.25
"1644",5174,6157773.5,2105639.1405,3,160.690002441406
"1645",5175,6158364.5,2105639.1405,6,134.240005493164
"1646",5176,6158787.5,2105639.1405,3,134.259994506836
"1647",5177,6158790.5,2105639.1405,3,134.210006713867
"1648",5178,6159108.5,2105639.1405,3,135.770004272461
"1649",5179,6159816.5,2105639.1405,3,168.580001831055
"1650",5180,6159819.5,2105639.1405,3,168.699996948242
"1651",5181,6159822.5,2105639.1405,3,169.020004272461
"1652",5182,6159825.5,2105639.1405,3,169.220001220703
"1653",5183,6159828.5,2105639.1405,3,169.770004272461
"1654",5190,6166092.5,2105639.1405,3,400.619995117188
"1655",5191,6168681.5,2105639.1405,4,329.230010986328
"1656",5195,6170973.5,2105639.1405,3,446.450012207031
"1657",5196,6172860.5,2105639.1405,3,296.429992675781
"1658",5198,6175002.5,2105639.1405,3,254.190002441406
"1659",5199,6175623.5,2105639.1405,6,227.089996337891
"1660",5200,6175632.5,2105639.1405,4,227.690002441406
"1661",5201,6175866.5,2105639.1405,4,229.460006713867
"1662",5202,6175869.5,2105639.1405,4,229.720001220703
"1663",5232,6180597.5,2105639.1405,4,392.890014648438
"1664",5242,6185043.5,2105639.1405,3,794.150024414062
"1665",5251,6187896.5,2105639.1405,4,745.059997558594
"1666",5253,6189357.5,2105639.1405,5,824.070007324219
"1667",5254,6189360.5,2105639.1405,5,824.109985351562
"1668",5269,6157776.5,2105636.1405,3,161.520004272461
"1669",5270,6158367.5,2105636.1405,6,134.449996948242
"1670",5271,6158784.5,2105636.1405,3,134.229995727539
"1671",5272,6159111.5,2105636.1405,3,135.729995727539
"1672",5273,6159798.5,2105636.1405,3,165.770004272461
"1673",5274,6159801.5,2105636.1405,3,166.179992675781
"1674",5275,6159804.5,2105636.1405,3,167.009994506836
"1675",5276,6159807.5,2105636.1405,3,168
"1676",5277,6159810.5,2105636.1405,3,168.259994506836
"1677",5278,6159813.5,2105636.1405,3,168.580001831055
"1678",5285,6166092.5,2105636.1405,3,398.100006103516
"1679",5286,6168681.5,2105636.1405,4,329.230010986328
"1680",5290,6170973.5,2105636.1405,3,446.260009765625
"1681",5291,6172860.5,2105636.1405,3,296.100006103516
"1682",5293,6175005.5,2105636.1405,3,251.830001831055
"1683",5294,6175623.5,2105636.1405,6,227.089996337891
"1684",5295,6175629.5,2105636.1405,4,227.410003662109
